"RandDate","Treatment","KLSSuccess","cenKLSSuccess","lastCheckDate","timeToExpunge","cenExpungeTime"
"2020-06-30",1,"yes","yes","2021-03-11",254,254
"2021-02-24",1,"yes","yes","2021-09-30",218,218
"2022-05-23",1,"yes","yes","2023-03-25",306,306
"2021-10-21",1,"yes","yes","2022-03-31",161,161
"2019-09-24",1,"yes","yes","2020-08-06",317,317
"2022-06-22",1,"yes","yes","2023-12-01",527,527
"2019-10-02",0,"yes","no","2024-01-31",1582,730
"2022-06-22",0,"yes","no","2024-08-07",777,730
"2022-04-29",0,"no","no","2024-01-31",642,642
"2022-01-31",0,"no","no","2024-01-31",730,730
"2021-11-10",1,"yes","no","2024-01-31",812,730
"2021-10-05",0,"partial","no","2024-08-05",1035,730
"2020-08-17",1,"no","no","2024-07-29",1442,730
