"stid","seq","life_comp","treatment","expunge","white","female","age_enroll","income","income_lag","house_sat","job_sat","unemployed","unemploy_lag","ps_income","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0024",4,-0.529887061982935,1,1,1,0,39,9.77754557303433,10.1516198677055,4,3,0,0,12022.67,1,4.366666667,1,1,2021
"KSSTID0024",5,-2.4062650449454,1,1,1,0,39,9.79912320720251,9.77754557303433,4,3,0,0,12022.67,1,3.9,1,1,2021
"KSSTID0024",6,-1.6161412109792,1,1,1,0,39,9.9950730771436,9.79912320720251,4,3,0,0,12022.67,1,3.666666667,1,1,2021
"KSSTID0025",1,-2.44681605560179,0,0,1,1,47,9.65929910262617,9.61090415485658,4,4,0,0,14925.66,1,3.7,0,1,2020
"KSSTID0025",2,-0.221932682820763,0,0,1,1,47,9.62610799049917,9.65929910262617,4,4,0,0,14925.66,1,9.1,0,1,2020
"KSSTID0025",3,0.645981170938764,0,0,1,1,47,9.19653349419641,9.62610799049917,3,4,0,0,14925.66,1,6.533333333,0,1,2020
"KSSTID0025",4,0.0678872616439162,0,0,1,1,47,9.26661483969529,9.19653349419641,4,3,0,0,14925.66,1,5.7,0,1,2021
"KSSTID0025",5,-2.39651029631342,0,0,1,1,47,8.84740012768302,9.26661483969529,3,3,0,0,14925.66,1,5.066666667,0,1,2021
"KSSTID0025",6,-1.33167944076572,0,0,1,1,47,9.73252127978031,8.84740012768302,3,4,0,0,14925.66,1,4.633333333,0,1,2021
"KSSTID0026",1,-1.30573192265383,1,0,1,0,56,0,0,4,3,1,1,0,1,3.7,0,0,2020
"KSSTID0026",2,0.437436544215357,1,1,1,0,56,0,0,3,3,1,1,0,1,9.1,0,0,2020
"KSSTID0026",3,-0.0410072800583849,1,1,1,0,56,0,0,4,3,1,1,0,1,6.533333333,0,0,2020
"KSSTID0026",4,0.636221289722616,1,1,1,0,56,0,0,3,3,1,1,0,1,5.7,1,0,2021
"KSSTID0026",5,-1.83679115429841,1,1,1,0,56,0,0,3,3,1,1,0,1,5.066666667,0,0,2021
"KSSTID0026",6,0.743133080011181,1,1,1,0,56,0,0,3,3,1,1,0,1,4.633333333,1,0,2021
"KSSTID0027",1,4.52935018604338,0,0,1,1,33,0,0,3,1,1,1,0,1,3.883333333,1,1,2020
"KSSTID0027",2,3.91428328863758,0,0,1,1,33,0,0,,2,1,1,0,1,5.1,1,1,2020
"KSSTID0027",3,2.9637173292735,0,0,1,1,33,0,0,2,,1,1,0,1,3.7,1,1,2020
"KSSTID0027",4,3.36077139575306,0,0,1,1,33,6.86797440897029,0,2,4,0,1,0,1,3.666666667,0,1,2021
"KSSTID0027",5,1.10679439397085,0,0,1,1,33,0,6.86797440897029,,,1,0,0,1,3.2,0,1,2021
"KSSTID0027",6,1.32594722132389,0,0,1,1,33,0,0,,,1,1,0,1,3.3,0,1,2021
"KSSTID0028",1,0.250435970885766,0,0,1,1,26,7.05080745477188,6.22975283574864,4,2,0,0,506.63,1,3.366666667,0,1,2020
"KSSTID0028",2,-0.399185987006691,0,0,1,1,26,7.55678859442293,7.05080745477188,1,2,0,0,506.63,1,6.633333333,0,1,2020
"KSSTID0028",3,0.62147899459234,0,0,1,1,26,7.61590436611043,7.55678859442293,3,3,0,0,506.63,1,4.8,0,1,2020
"KSSTID0028",4,-1.52104190067717,0,0,1,1,26,7.69324916167178,7.61590436611043,3,2,0,0,506.63,1,4.366666667,0,1,2021
"KSSTID0028",5,-0.0341697344976652,0,0,1,1,26,6.61279343987746,7.69324916167178,3,3,0,0,506.63,1,3.9,0,1,2021
"KSSTID0028",6,0.291113172055447,0,0,1,1,26,0,6.61279343987746,3,2,1,0,506.63,1,3.666666667,0,1,2021
"KSSTID0029",1,-1.34930080476593,1,0,1,1,42,9.27296299645529,8.8496201139193,2,2,0,0,6970.74,1,4.733333333,0,1,2020
"KSSTID0029",2,0.737944363058764,1,1,1,1,42,9.49551931420985,9.27296299645529,2,4,0,0,6970.74,1,6,0,1,2020
"KSSTID0029",3,0.17951928395034,1,1,1,1,42,9.59885597875063,9.49551931420985,1,4,0,0,6970.74,1,4.066666667,0,1,2020
"KSSTID0029",4,0.324715869913113,1,1,1,1,42,10.0274302451612,9.59885597875063,2,4,0,0,6970.74,1,4.2,1,1,2021
"KSSTID0029",5,-2.81742978701745,1,1,1,1,42,10.1462945057688,10.0274302451612,3,4,0,0,6970.74,1,3.7,0,1,2021
"KSSTID0029",6,-3.78254394921906,1,1,1,1,42,9.54987434526588,10.1462945057688,4,4,0,0,6970.74,1,3.666666667,0,1,2021
"KSSTID0030",1,1.73797160142744,1,0,0,1,33,9.01595918932962,9.38670086353862,2,3,0,0,11927.68,1,14.46666667,0,1,2020
"KSSTID0030",2,2.81461493696168,1,1,0,1,33,9.31256206668554,9.01595918932962,2,2,0,0,11927.68,1,9.1,0,1,2020
"KSSTID0030",3,0.996010691077908,1,1,0,1,33,9.35504659297544,9.31256206668554,3,2,0,0,11927.68,1,6.533333333,0,1,2020
"KSSTID0030",4,1.8211733274258,1,1,0,1,33,8.7767489001963,9.35504659297544,3,2,0,0,11927.68,1,5.7,0,1,2021
"KSSTID0030",5,0.989376662875443,1,1,0,1,33,9.16559088327114,8.7767489001963,2,3,0,0,11927.68,1,5.066666667,0,1,2021
"KSSTID0030",6,0.717568801724675,1,1,0,1,33,9.18441930514478,9.16559088327114,3,2,0,0,11927.68,1,4.633333333,0,1,2021
"KSSTID0031",1,0.429400471548335,0,0,1,0,71,0,0,3,1,1,1,0,1,9.933333333,1,0,2020
"KSSTID0031",2,1.06266943990353,0,0,1,0,71,0,0,3,3,1,1,0,1,6.1,1,0,2020
"KSSTID0031",3,1.73205046488372,0,0,1,0,71,0,0,3,2,1,1,0,1,4.366666667,1,0,2020
"KSSTID0031",4,1.10898328210807,0,0,1,0,71,0,0,2,2,1,1,0,1,4.066666667,1,0,2021
"KSSTID0031",5,-0.338976411332227,0,0,1,0,71,0,0,3,2,1,1,0,1,3.533333333,1,0,2021
"KSSTID0031",6,-0.64428457471849,0,0,1,0,71,0,0,3,3,1,1,0,1,3.533333333,1,0,2021
"KSSTID0032",1,0.797871367292304,1,0,1,0,56,0,0,4,2,1,1,0,1,9.933333333,0,0,2020
"KSSTID0032",2,0.774395475073363,1,0,1,0,56,0,0,3,2,1,1,0,1,6.1,0,0,2020
"KSSTID0032",3,2.2960083081263,1,0,1,0,56,0,0,4,2,1,1,0,1,4.366666667,0,0,2020
"KSSTID0032",4,1.50769776827505,1,1,1,0,56,0,0,3,1,1,1,0,1,4.066666667,0,0,2021
"KSSTID0032",5,-0.280670366674021,1,1,1,0,56,0,0,4,1,1,1,0,1,3.533333333,0,0,2021
"KSSTID0032",6,0.309410612490319,1,1,1,0,56,0,0,2,2,1,1,0,1,3.533333333,0,0,2021
"KSSTID0033",1,-0.912799770444786,0,1,1,1,43,8.9074377186019,8.8739203339926,3,3,0,0,7142.23,1,5.383333333,0,1,2020
"KSSTID0033",2,0.311587477706062,0,1,1,1,43,8.34934242585074,8.9074377186019,3,1,0,0,7142.23,1,4.516666667,0,1,2020
"KSSTID0033",3,2.14765008185267,0,1,1,1,43,8.19832312364162,8.34934242585074,3,1,0,0,7142.23,1,3.383333333,0,1,2020
"KSSTID0033",4,-0.352936859574627,0,1,1,1,43,8.16794772330438,8.19832312364162,3,3,0,0,7142.23,1,3.233333333,0,1,2021
