"stid","seq","moved_uty","treatment","expunge","white","female","age_enroll","income","income_lag","house_sat","move_deter","unemployed","unemploy_lag","ps_employed","ps_moved","local_unemploy","married","dependent","year"
"KSSTID0133",3,0,0,0,1,1,40,9.23398072381727,9.2785923023674,2,0,0,0,0,1,2.933333333,0,0,2021
"KSSTID0133",4,0,0,0,1,1,40,9.43161497789947,9.23398072381727,3,1,0,0,0,1,1.833333333,0,0,2021
"KSSTID0133",5,0,0,0,1,1,40,9.29893990384663,9.43161497789947,3,0,0,0,0,1,2.183333333,1,1,2022
"KSSTID0133",6,0,0,0,1,1,40,9.55354986225006,9.29893990384663,2,0,0,0,0,1,2.216666667,1,1,2022
"KSSTID0134",1,0,1,0,0,1,43,8.17410552098602,7.44532993604068,,1,0,0,1,0,2.95,0,1,2021
"KSSTID0134",2,0,1,0,0,1,43,8.74641105667442,8.17410552098602,2,,0,0,1,0,2.766666667,0,1,2021
"KSSTID0134",3,1,1,1,0,1,43,8.99371801140224,8.74641105667442,,,0,0,1,0,2.933333333,0,1,2021
"KSSTID0134",4,0,1,1,0,1,43,8.3767373083199,8.99371801140224,,,0,0,1,0,1.833333333,0,1,2021
"KSSTID0134",5,0,1,1,0,1,43,8.46586410691454,8.3767373083199,,,0,0,1,0,2.183333333,0,1,2022
"KSSTID0134",6,1,1,1,0,1,43,8.73085997972632,8.46586410691454,,,0,0,1,0,2.216666667,1,1,2022
"KSSTID0135",1,0,1,0,1,1,45,0,8.65248603178042,1,0,1,0,0,0,6.533333333,0,1,2020
"KSSTID0135",2,0,1,0,1,1,45,8.57922858233569,0,3,0,1,1,0,0,5.7,0,1,2021
"KSSTID0135",3,0,1,1,1,1,45,6.38350663488401,8.57922858233569,1,0,1,1,0,0,4.633333333,0,1,2021
"KSSTID0135",4,0,1,1,1,1,45,8.38626412408984,6.38350663488401,3,0,0,1,0,0,3.066666667,0,1,2021
"KSSTID0135",5,0,1,1,1,1,45,4.56871364897748,8.38626412408984,2,0,0,0,0,0,3.366666667,1,1,2022
"KSSTID0135",6,0,1,1,1,1,45,0,4.56871364897748,2,0,1,0,0,0,2.966666667,0,1,2022
"KSSTID0136",1,1,1,0,1,1,45,0,4.95477016125486,3,0,1,0,1,1,3.9,1,0,2020
"KSSTID0136",2,0,1,1,1,1,45,0,0,1,0,1,1,1,1,3.711111111,1,0,2021
"KSSTID0136",3,0,1,1,1,1,45,6.3393888153195,0,1,0,0,1,1,1,3.633333333,1,0,2021
"KSSTID0136",4,1,1,1,1,1,45,3.65065824129374,6.3393888153195,1,0,0,0,1,1,2.355555556,1,0,2021
"KSSTID0136",5,0,1,1,1,1,45,0,3.65065824129374,1,0,1,0,1,1,2.911111111,1,0,2022
"KSSTID0136",6,1,1,1,1,1,45,0,0,2,0,1,1,1,1,2.733333333,1,0,2022
"KSSTID0137",1,0,1,0,0,0,36,9.9184539945134,9.77925224567572,,1,0,0,1,0,3.8,0,1,2021
"KSSTID0137",2,0,1,0,0,0,36,9.85618313409969,9.9184539945134,3,1,0,0,1,0,3.4,0,1,2021
"KSSTID0137",3,0,1,1,0,0,36,9.51374839098874,9.85618313409969,3,1,0,0,1,0,3.333333333,0,1,2021
"KSSTID0137",4,0,1,1,0,0,36,8.68079767149072,9.51374839098874,2,0,1,0,1,0,2,0,1,2021
"KSSTID0137",5,0,1,1,0,0,36,8.60076897350246,8.68079767149072,3,0,1,1,1,0,2.466666667,0,1,2022
"KSSTID0137",6,0,1,1,0,0,36,9.43697940696291,8.60076897350246,2,0,0,1,1,0,2.4,1,1,2022
"KSSTID0138",1,0,0,0,1,1,32,0,6.0404451693296,,0,1,0,1,0,2.95,0,1,2021
"KSSTID0138",2,0,0,0,1,1,32,0,0,3,0,1,1,1,0,2.766666667,0,1,2021
"KSSTID0138",3,0,0,0,1,1,32,8.41554355968165,0,3,0,0,1,1,0,2.933333333,0,1,2021
"KSSTID0138",4,0,0,0,1,1,32,9.30392816022451,8.41554355968165,3,0,0,0,1,0,1.833333333,0,1,2021
"KSSTID0138",5,0,0,0,1,1,32,9.2585646617832,9.30392816022451,3,0,0,0,1,0,2.183333333,0,1,2022
"KSSTID0138",6,0,0,0,1,1,32,9.28247124810583,9.2585646617832,2,0,0,0,1,0,2.216666667,0,1,2022
"KSSTID0139",1,0,1,0,0,1,50,8.89041454535656,8.60251731245643,,1,0,0,0,0,5.7,0,1,2021
"KSSTID0139",2,0,1,0,0,1,50,8.98723794481636,8.89041454535656,1,,0,0,0,0,5.066666667,0,1,2021
