"stid","seq","house_sat","treatment","expunge","white","female","age_enroll","income","income_lag","house_num","house_size","move_attempt","unemployed","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0030",6,3,1,1,0,1,33,9.18441930514478,9.16559088327114,3,3,0,0,0,1,4.633333333,0,1,2021
"KSSTID0031",1,3,0,0,1,0,71,0,0,1,3,0,1,1,1,9.933333333,0,0,2020
"KSSTID0031",2,3,0,0,1,0,71,0,0,0,3,0,1,1,1,6.1,1,0,2020
"KSSTID0031",3,3,0,0,1,0,71,0,0,0,3,0,1,1,1,4.366666667,0,0,2020
"KSSTID0031",4,2,0,0,1,0,71,0,0,0,3,0,1,1,1,4.066666667,0,0,2021
"KSSTID0031",5,3,0,0,1,0,71,0,0,0,2,0,1,1,1,3.533333333,0,0,2021
"KSSTID0031",6,3,0,0,1,0,71,0,0,0,3,0,1,1,1,3.533333333,1,0,2021
"KSSTID0032",1,4,1,0,1,0,56,0,0,2,3,,1,1,1,9.933333333,0,0,2020
"KSSTID0032",2,3,1,0,1,0,56,0,0,1,3,0,1,1,1,6.1,0,0,2020
"KSSTID0032",3,4,1,0,1,0,56,0,0,1,3,0,1,1,1,4.366666667,0,0,2020
"KSSTID0032",4,3,1,1,1,0,56,0,0,2,3,0,1,1,1,4.066666667,0,0,2021
"KSSTID0032",5,4,1,1,1,0,56,0,0,1,4,0,1,1,1,3.533333333,0,0,2021
"KSSTID0032",6,2,1,1,1,0,56,0,0,1,3,0,1,1,1,3.533333333,0,0,2021
"KSSTID0033",1,3,0,1,1,1,43,8.9074377186019,8.8739203339926,2,2,0,0,0,1,5.383333333,0,1,2020
"KSSTID0033",2,3,0,1,1,1,43,8.34934242585074,8.9074377186019,1,3,0,0,0,1,4.516666667,0,1,2020
"KSSTID0033",3,3,0,1,1,1,43,8.19832312364162,8.34934242585074,1,4,0,0,0,1,3.383333333,0,1,2020
"KSSTID0033",4,3,0,1,1,1,43,8.16794772330438,8.19832312364162,1,3,0,0,0,1,3.233333333,0,1,2021
"KSSTID0033",5,3,0,1,1,1,43,8.36347775019225,8.16794772330438,2,6,1,0,0,1,2.833333333,0,1,2021
"KSSTID0033",6,4,0,1,1,1,43,8.2685523288285,8.36347775019225,1,6,0,0,0,1,2.966666667,0,1,2021
"KSSTID0034",1,3,0,0,1,0,47,0,0,0,1,0,1,1,1,9.633333333,1,0,2020
"KSSTID0034",2,3,0,0,1,0,47,0,0,4,6,0,1,1,1,6.2,1,0,2020
"KSSTID0034",3,2,0,0,1,0,47,0,0,4,5,0,1,1,1,4.033333333,1,0,2020
"KSSTID0034",4,2,0,0,1,0,47,0,0,4,6,0,1,1,1,3.8,1,0,2021
"KSSTID0034",5,2,0,0,1,0,47,0,0,4,6,0,1,1,1,3.4,1,0,2021
"KSSTID0034",6,2,0,0,1,0,47,0,0,3,6,0,1,1,1,3.333333333,1,0,2021
"KSSTID0035",1,4,0,0,1,0,42,10.0777571961745,9.55512298159309,3,4,,0,0,1,14.46666667,1,1,2020
"KSSTID0035",2,4,0,0,1,0,42,9.95853524036037,10.0777571961745,2,4,0,0,0,1,9.1,1,1,2020
"KSSTID0035",3,4,0,0,1,0,42,9.86174899226446,9.95853524036037,2,5,0,0,0,1,6.533333333,1,1,2020
"KSSTID0035",4,4,0,0,1,0,42,9.95923346927157,9.86174899226446,2,6,0,0,0,1,5.7,1,1,2021
"KSSTID0035",5,4,0,0,1,0,42,9.87699777601363,9.95923346927157,2,6,0,0,0,1,5.066666667,1,1,2021
"KSSTID0035",6,4,0,0,1,0,42,9.68639254683317,9.87699777601363,2,6,0,0,0,1,4.633333333,1,1,2021
"KSSTID0036",1,2,0,0,0,1,63,0,0,1,6,0,1,1,1,10.33333333,0,0,2020
"KSSTID0036",2,1,0,0,0,1,63,0,0,0,4,1,1,1,1,6.766666667,0,0,2020
"KSSTID0036",3,3,0,0,0,1,63,0,0,0,6,0,1,1,1,5.05,0,0,2020
"KSSTID0036",4,4,0,0,0,1,63,0,0,0,5,0,1,1,1,4.583333333,0,0,2021
"KSSTID0036",5,3,0,0,0,1,63,0,0,0,6,0,1,1,1,4.033333333,0,0,2021
"KSSTID0036",6,3,0,0,0,1,63,0,0,0,4,0,1,1,1,3.7,1,0,2021
"KSSTID0037",1,3,1,0,0,1,34,9.04025880000373,9.08904015829436,4,2,0,0,0,1,14.46666667,0,1,2020
"KSSTID0037",2,3,1,1,0,1,34,9.15254493174859,9.04025880000373,2,2,0,0,0,1,9.1,0,1,2020
"KSSTID0037",3,3,1,1,0,1,34,9.2198024648487,9.15254493174859,2,2,0,0,0,1,6.533333333,0,1,2020
"KSSTID0037",4,2,1,1,0,1,34,9.21168346961661,9.2198024648487,2,3,0,0,0,1,5.7,0,1,2021
"KSSTID0037",5,3,1,1,0,1,34,9.06173827027933,9.21168346961661,2,3,,0,0,1,5.066666667,0,1,2021
"KSSTID0037",6,1,1,1,0,1,34,9.29380981705753,9.06173827027933,2,2,0,0,0,1,4.633333333,0,1,2021
"KSSTID0038",1,1,1,0,1,0,29,8.96839619119826,8.03635669799934,0,2,,0,0,0,14.46666667,0,1,2020
"KSSTID0038",2,3,1,1,1,0,29,8.88544091170758,8.96839619119826,4,4,0,1,0,0,9.1,0,1,2020
