"stid","seq","income_ratio","treatment","expunge","white","female","age_enroll","unemploy_lag","local_unemploy","ps_employed","married","dependent","year","pe_income_avg"
13,-2,1.72616896661672,0,0,1,1,38,0,3.066666667,,0,1,2019,3081.4075
13,-4,2.04426061791568,0,0,1,1,38,0,3.166666667,,0,1,2018,3081.4075
13,-3,1.68632029356714,0,0,1,1,38,0,4.2,,0,1,2019,3081.4075
13,0,1.59796456651709,0,0,1,1,38,0,2.8,,0,1,2019,3081.4075
13,-1,1.52513745747682,0,0,1,1,38,0,3.266666667,,0,1,2019,3081.4075
13,4,0.233951530266607,0,1,1,1,38,1,3.6,,1,1,2020,3081.4075
14,-8,0.876309624374048,1,0,1,0,26,,2.483333333,1,0,0,2017,5013.365
14,-7,0.896886622059236,1,0,1,0,26,0,2.983333333,1,0,0,2018,5013.365
14,-6,1.08068931745444,1,0,1,0,26,0,2.816666667,1,0,0,2018,5013.365
14,-5,1.2805550762811,1,0,1,0,26,0,2.75,1,0,0,2018,5013.365
14,-4,0.914156459783,1,0,1,0,26,0,2.4,1,0,0,2018,5013.365
14,-3,1.11187196623426,1,0,1,0,26,0,3,1,0,0,2019,5013.365
14,-2,0.916841283249873,1,0,1,0,26,0,2.666666667,1,0,0,2019,5013.365
14,-1,0.922689650564042,1,0,1,0,26,0,2.866666667,1,0,0,2019,5013.365
14,0,0.820622476121328,1,0,1,0,26,0,2.316666667,1,0,0,2019,5013.365
14,1,0.757853298134088,1,0,1,0,26,0,2.983333333,1,0,0,2020,5013.365
14,2,2.2335925810309,1,1,1,0,26,0,6.433333333,1,0,0,2020,5013.365
14,3,0.0521347178990558,1,1,1,0,26,1,4.483333333,1,0,0,2020,5013.365
14,4,0.185974889121379,1,1,1,0,26,1,3.15,1,0,0,2020,5013.365
14,5,1.15748005581082,1,1,1,0,26,0,2.95,1,0,0,2021,5013.365
14,6,1.70505837895306,1,1,1,0,26,0,2.766666667,1,0,0,2021,5013.365
14,7,2.03218596691045,1,1,1,0,26,0,2.933333333,1,0,0,2021,5013.365
16,-8,0.460131204110871,1,0,1,0,28,,3.5,1,0,0,2017,4526.535
16,-8,0.460131204110871,1,0,1,0,28,0,3.5,1,0,0,2017,4526.535
16,-7,0,1,0,1,0,28,0,4,1,0,0,2018,4526.535
16,-7,0,1,0,1,0,28,1,4,1,0,0,2018,4526.535
16,-6,0.0176735626699009,1,0,1,0,28,1,3.566666667,1,0,0,2018,4526.535
16,-6,0.0176735626699009,1,0,1,0,28,0,3.566666667,1,0,0,2018,4526.535
16,-5,0.512307979503086,1,0,1,0,28,0,3.666666667,1,0,0,2018,4526.535
16,-5,0.512307979503086,1,0,1,0,28,0,3.666666667,1,0,0,2018,4526.535
16,-4,0.738677597765178,1,0,1,0,28,0,3.133333333,1,0,0,2018,4526.535
16,-4,0.738677597765178,1,0,1,0,28,0,3.133333333,1,0,0,2018,4526.535
16,-3,0.857583118212938,1,0,1,0,28,0,3.733333333,1,0,0,2019,4526.535
16,-3,0.857583118212938,1,0,1,0,28,0,3.733333333,1,0,0,2019,4526.535
16,-2,0.734031659978328,1,0,1,0,28,0,3.233333333,1,0,0,2019,4526.535
16,-2,0.734031659978328,1,0,1,0,28,0,3.233333333,1,0,0,2019,4526.535
16,-1,0.679594877759699,1,0,1,0,28,0,3.5,1,0,0,2019,4526.535
16,-1,0.679594877759699,1,0,1,0,28,0,3.5,1,0,0,2019,4526.535
16,0,0.581811473897805,1,0,1,0,28,0,2.966666667,1,0,0,2019,4526.535
16,0,0.581811473897805,1,0,1,0,28,0,2.966666667,1,0,0,2019,4526.535
16,1,0.59912714692364,1,1,1,0,28,0,3.7,1,0,0,2020,4526.535
16,1,0.59912714692364,1,1,1,0,28,0,3.7,1,0,0,2020,4526.535
16,2,0.515168887460276,1,1,1,0,28,0,14.46666667,1,0,0,2020,4526.535
16,2,0.515168887460276,1,1,1,0,28,0,14.46666667,1,0,0,2020,4526.535
16,3,0.855150794150493,1,1,1,0,28,0,9.1,1,0,0,2020,4526.535
16,3,0.855150794150493,1,1,1,0,28,0,9.1,1,0,0,2020,4526.535
