"stid","seq","unemployed","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0009",-1,0,1,0,1,1,31,5395.87,8.59357443487254,8.78356939727358,0,0,3.5,0,1,2019
"KSSTID0009",0,0,1,0,1,1,31,4854.442,8.4878554167463,8.59357443487254,0,0,2.966666667,0,1,2019
"KSSTID0009",1,1,1,0,1,1,31,2099.3688,7.64986822733991,8.4878554167463,0,0,3.7,0,1,2020
"KSSTID0009",2,1,1,0,1,1,31,0,0,7.64986822733991,1,0,14.46666667,0,1,2020
"KSSTID0009",3,1,1,1,1,1,31,0,0,0,1,0,9.1,0,1,2020
"KSSTID0009",4,0,1,1,1,1,31,3357.05,8.119115727342,0,1,0,6.533333333,0,1,2020
"KSSTID0009",5,0,1,1,1,1,31,4625.25,8.43950188370037,8.119115727342,0,0,5.7,0,1,2021
"KSSTID0009",6,0,1,1,1,1,31,6658.75,8.80383722529235,8.43950188370037,0,0,5.066666667,0,1,2021
"KSSTID0009",7,0,1,1,1,1,31,4980.57,8.51350038137855,8.80383722529235,0,0,4.633333333,0,1,2021
"KSSTID0010",-8,1,1,0,1,1,40,0,0,,,1,3.233333333,0,1,2017
"KSSTID0010",-7,1,1,0,1,1,40,0,0,0,1,1,3.933333333,0,1,2018
"KSSTID0010",-6,1,1,0,1,1,40,0,0,0,1,1,3.466666667,0,1,2018
"KSSTID0010",-5,1,1,0,1,1,40,0,0,0,1,1,3.666666667,0,1,2018
"KSSTID0010",-4,1,1,0,1,1,40,0,0,0,1,1,3.3,0,1,2018
"KSSTID0010",-3,1,1,0,1,1,40,0,0,0,1,1,4,0,1,2019
"KSSTID0010",-2,1,1,0,1,1,40,0,0,0,1,1,3.266666667,0,1,2019
"KSSTID0010",-1,1,1,0,1,1,40,0,0,0,1,1,3.6,0,1,2019
"KSSTID0010",0,1,1,0,1,1,40,0,0,0,1,1,3.133333333,0,1,2019
"KSSTID0010",1,1,1,0,1,1,40,0,0,0,1,1,3.7,0,1,2020
"KSSTID0010",2,1,1,0,1,1,40,0,0,0,1,1,9.933333333,0,1,2020
