"stid","seq","m_rent","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","ps_income","ps_employed","ps_m_rent","full_time","full_time_lag","unemploy_lag","local_unemploy","married","dependent","year"
"KSSTID0024",4,0,1,1,1,0,39,17632.32,9.77754557303433,10.1516198677055,9.39463248594641,1,0,1,1,0,4.366666667,1,1,2021
"KSSTID0024",5,0,1,1,1,0,39,18016.94,9.79912320720251,9.77754557303433,9.39463248594641,1,0,1,1,0,3.9,1,1,2021
"KSSTID0024",6,0,1,1,1,0,39,21917.21,9.9950730771436,9.79912320720251,9.39463248594641,1,0,1,1,0,3.666666667,1,1,2021
"KSSTID0025",1,1,0,0,1,1,47,15665.8,9.65929910262617,9.61090415485658,9.61090415485658,1,1,1,1,0,3.7,0,1,2020
"KSSTID0025",2,0,0,0,1,1,47,15154.33646,9.62610799049917,9.65929910262617,9.61090415485658,1,1,1,1,0,9.1,0,1,2020
"KSSTID0025",3,0,0,0,1,1,47,9861.88,9.19653349419641,9.62610799049917,9.61090415485658,1,1,1,1,0,6.533333333,0,1,2020
"KSSTID0025",4,1,0,0,1,1,47,10577.88,9.26661483969529,9.19653349419641,9.61090415485658,1,1,1,1,0,5.7,0,1,2021
"KSSTID0025",5,0,0,0,1,1,47,6955.28,8.84740012768302,9.26661483969529,9.61090415485658,1,1,1,1,0,5.066666667,0,1,2021
"KSSTID0025",6,1,0,0,1,1,47,16856,9.73252127978031,8.84740012768302,9.61090415485658,1,1,1,1,0,4.633333333,0,1,2021
"KSSTID0026",1,0,1,0,1,0,56,0,0,0,0,1,0,0,0,1,3.7,0,0,2020
"KSSTID0026",2,0,1,1,1,0,56,0,0,0,0,1,0,0,0,1,9.1,0,0,2020
"KSSTID0026",3,0,1,1,1,0,56,0,0,0,0,1,0,0,0,1,6.533333333,0,0,2020
"KSSTID0026",4,0,1,1,1,0,56,0,0,0,0,1,0,0,0,1,5.7,1,0,2021
"KSSTID0026",5,0,1,1,1,0,56,0,0,0,0,1,0,0,0,1,5.066666667,1,0,2021
"KSSTID0026",6,0,1,1,1,0,56,0,0,0,0,1,0,0,0,1,4.633333333,1,0,2021
"KSSTID0027",1,0,0,0,1,1,33,0,0,0,0,1,0,0,0,1,3.883333333,1,1,2020
"KSSTID0027",2,0,0,0,1,1,33,0,0,0,0,1,0,0,0,1,5.1,1,1,2020
"KSSTID0027",3,0,0,0,1,1,33,0,0,0,0,1,0,1,0,1,3.7,1,1,2020
"KSSTID0027",4,0,0,0,1,1,33,960,6.86797440897029,0,0,1,0,0,1,1,3.666666667,0,1,2021
"KSSTID0027",5,0,0,0,1,1,33,0,0,6.86797440897029,0,1,0,0,0,0,3.2,0,1,2021
"KSSTID0027",6,0,0,0,1,1,33,0,0,0,0,1,0,1,0,1,3.3,0,1,2021
"KSSTID0028",1,0,0,0,1,1,26,1152.79,7.05080745477188,6.22975283574864,6.22975283574864,1,0,0,0,0,3.366666667,0,1,2020
"KSSTID0028",2,1,0,0,1,1,26,1912.69,7.55678859442293,7.05080745477188,6.22975283574864,1,0,0,0,0,6.633333333,0,1,2020
"KSSTID0028",3,0,0,0,1,1,26,2029.23,7.61590436611043,7.55678859442293,6.22975283574864,1,0,0,0,0,4.8,0,1,2020
"KSSTID0028",4,0,0,0,1,1,26,2192.49,7.69324916167178,7.61590436611043,6.22975283574864,1,0,0,0,0,4.366666667,0,1,2021
"KSSTID0028",5,0,0,0,1,1,26,743.56,6.61279343987746,7.69324916167178,6.22975283574864,1,0,0,0,0,3.9,0,1,2021
"KSSTID0028",6,0,0,0,1,1,26,0,0,6.61279343987746,6.22975283574864,1,0,0,0,0,3.666666667,0,1,2021
"KSSTID0029",1,0,1,0,1,1,42,10645.25,9.27296299645529,8.8496201139193,8.8496201139193,1,0,0,1,0,4.733333333,0,1,2020
"KSSTID0029",2,0,1,1,1,1,42,13299,9.49551931420985,9.27296299645529,8.8496201139193,1,0,1,0,0,6,0,1,2020
"KSSTID0029",3,0,1,1,1,1,42,14746.9,9.59885597875063,9.49551931420985,8.8496201139193,1,0,0,1,0,4.066666667,0,1,2020
"KSSTID0029",4,0,1,1,1,1,42,22638.02,10.0274302451612,9.59885597875063,8.8496201139193,1,0,0,0,0,4.2,0,1,2021
"KSSTID0029",5,0,1,1,1,1,42,25495.45,10.1462945057688,10.0274302451612,8.8496201139193,1,0,1,0,0,3.7,0,1,2021
"KSSTID0029",6,0,1,1,1,1,42,14041.93,9.54987434526588,10.1462945057688,8.8496201139193,1,0,1,1,0,3.666666667,0,1,2021
"KSSTID0030",1,0,1,0,0,1,33,8232.44,9.01595918932962,9.38670086353862,9.38670086353862,1,0,1,1,0,14.46666667,0,1,2020
"KSSTID0030",2,0,1,1,0,1,33,11075.29,9.31256206668554,9.01595918932962,9.38670086353862,1,0,1,1,0,9.1,0,1,2020
"KSSTID0030",3,0,1,1,0,1,33,11556,9.35504659297544,9.31256206668554,9.38670086353862,1,0,1,1,0,6.533333333,0,1,2020
"KSSTID0030",4,0,1,1,0,1,33,6480.77,8.7767489001963,9.35504659297544,9.38670086353862,1,0,1,1,0,5.7,0,1,2021
"KSSTID0030",5,0,1,1,0,1,33,9561.37,9.16559088327114,8.7767489001963,9.38670086353862,1,0,1,1,0,5.066666667,0,1,2021
"KSSTID0030",6,0,1,1,0,1,33,9743.12,9.18441930514478,9.16559088327114,9.38670086353862,1,0,1,1,0,4.633333333,0,1,2021
"KSSTID0031",1,0,0,0,1,0,71,0,0,0,0,1,0,0,0,1,9.933333333,0,0,2020
"KSSTID0031",2,0,0,0,1,0,71,0,0,0,0,1,0,0,0,1,6.1,0,0,2020
"KSSTID0031",3,1,0,0,1,0,71,0,0,0,0,1,0,0,0,1,4.366666667,0,0,2020
"KSSTID0031",4,0,0,0,1,0,71,0,0,0,0,1,0,0,0,1,4.066666667,1,0,2021
"KSSTID0031",5,0,0,0,1,0,71,0,0,0,0,1,0,0,0,1,3.533333333,1,0,2021
"KSSTID0031",6,0,0,0,1,0,71,0,0,0,0,1,0,0,0,1,3.533333333,0,0,2021
"KSSTID0032",1,0,1,0,1,0,56,0,0,0,0,1,0,0,0,1,9.933333333,0,0,2020
"KSSTID0032",2,0,1,0,1,0,56,0,0,0,0,1,0,0,0,1,6.1,0,0,2020
"KSSTID0032",3,0,1,0,1,0,56,0,0,0,0,1,0,0,0,1,4.366666667,0,0,2020
"KSSTID0032",4,0,1,1,1,0,56,0,0,0,0,1,0,0,0,1,4.066666667,0,0,2021
"KSSTID0032",5,0,1,1,1,0,56,0,0,0,0,1,0,0,0,1,3.533333333,0,0,2021
"KSSTID0032",6,0,1,1,1,0,56,0,0,0,0,1,0,0,0,1,3.533333333,0,0,2021
"KSSTID0033",1,0,0,1,1,1,43,7385.71,8.9074377186019,8.8739203339926,8.8739203339926,1,0,1,1,0,5.383333333,0,1,2020
"KSSTID0033",2,0,0,1,1,1,43,4226.4,8.34934242585074,8.9074377186019,8.8739203339926,1,0,0,1,0,4.516666667,0,1,2020
"KSSTID0033",3,0,0,1,1,1,43,3633.85,8.19832312364162,8.34934242585074,8.8739203339926,1,0,0,0,0,3.383333333,0,1,2020
"KSSTID0033",4,0,0,1,1,1,43,3525.1,8.16794772330438,8.19832312364162,8.8739203339926,1,0,1,0,0,3.233333333,0,1,2021
"KSSTID0033",5,0,0,1,1,1,43,4286.58,8.36347775019225,8.16794772330438,8.8739203339926,1,0,0,1,0,2.833333333,0,1,2021
