"stid","homeless","treatment","expunge","white","female","age_enroll","total_income","income","ps_income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0124",0,0,0,0,0,32,2046.66666666667,2.89043670717768,6680.35,0,1,1,4.45000000016667,1,0
"KSSTID0125",,1,1,1,0,42,15417.4083333333,9.63380229014563,13556.1,1,0,0,2.63888888916667,1,1
"KSSTID0126",,0,0,1,1,43,3629.80166666667,8.14641731076198,2907.16,1,0,0,3.84259259266667,1,1
"KSSTID0127",0,0,0,1,1,32,1519.68,5.05368038254734,288.85,0,1,1,3.35555555566667,1,1
"KSSTID0128",,1,1,1,0,32,0,0,0,1,1,1,3.2,1,0
"KSSTID0129",0,1,0,1,1,49,271.603333333333,3.01433984490868,0,0,1,1,2.96111111116667,1,1
"KSSTID0130",,0,0,1,1,39,5520.52666666667,6.69601530111767,5564.39,1,1,1,3.35555555566667,1,0
"KSSTID0131",,0,0,1,0,49,3492.66666666667,8.14706016322408,3487.79,1,0,0,3.04444444433333,1,0
"KSSTID0132",0,1,1,0,0,48,3504.66333333333,5.65828973897789,0,1,1,1,4.37777777783333,0,1
"KSSTID0133",0,0,0,1,1,40,11341.5666666667,9.32790929510753,7594.76,0,0,0,2.54444444433333,1,1
"KSSTID0134",,1,1,0,1,43,5527.99833333333,8.58128266400391,1710.85,1,0,0,2.4805555555,1,1
"KSSTID0135",0,1,1,1,1,45,1731.80333333333,4.65295216504784,5723.36,0,1,1,4.37777777783333,1,1
"KSSTID0136",0,1,1,1,1,45,100.491666666667,1.66500784276887,140.85,1,1,1,3.20740740733333,1,0
"KSSTID0137",,1,1,0,0,36,12797.4233333333,9.33448859525965,17662.44,1,1,1,2.9,0,1
"KSSTID0138",,0,0,1,1,32,6122.63666666667,6.0434179382992,419.08,1,1,1,2.4805555555,1,1
"KSSTID0139",,1,1,0,1,50,4663.8765,8.27773348607671,5444.35,0,0,0,4.1333333335,0,1
"KSSTID0140",,1,1,1,1,52,0,0,0,1,1,1,4.1333333335,1,0
"KSSTID0141",,1,1,1,0,37,18959.7283333333,9.84515029710679,18623.83,1,0,0,2.53333333333333,1,1
"KSSTID0142",,0,0,1,0,53,1199.69,4.52976558252625,0,1,1,1,4.1333333335,0,0
"KSSTID0143",,0,0,1,0,34,0,0,1918.49,1,1,1,3.47777777783333,0,0
"KSSTID0144",,0,0,1,1,55,9220.555,9.10403774477674,7403.8,1,0,0,2.4805555555,1,0
"KSSTID0145",,1,1,0,0,30,5450.095,8.39745415781558,8010.35,1,0,0,3.30555555566667,1,1
"KSSTID0146",0,1,1,1,0,29,10966.0616666667,9.27654142632735,11139.39,1,0,0,2.5916666665,1,0
"KSSTID0147",0,0,0,0,0,59,0,0,0,1,1,1,4.17777777783333,1,0
"KSSTID0148",0,0,0,1,1,30,16.6666666666667,0.769186752806877,0,1,1,1,3.911111111,1,0
"KSSTID0149",0,1,1,1,1,30,6758.30166666667,8.76574781998613,3456.36,1,0,0,2.29166666683333,1,0
"KSSTID0150",,1,0,0,0,50,2234.66666666667,4.19905336931933,347.83,0,1,1,4.17777777783333,1,0
"KSSTID0151",0,0,0,1,0,49,0,0,601.09,1,1,1,3.02500000016667,1,1
"KSSTID0152",1,1,0,0,0,63,0,0,0,1,1,1,3.91666666683333,1,0
"KSSTID0153",0,0,0,1,0,39,24095.3183333333,10.0612186222334,17534.94,1,0,0,2.01666666683333,1,1
"KSSTID0154",,0,0,0,0,30,10448.2383333333,9.22943812734775,5412.13,0,0,0,2.47222222216667,1,1
"KSSTID0155",0,0,0,0,1,40,644.93,2.35678038060821,1208.23,1,1,1,3.91666666683333,1,1
"KSSTID0156",,1,0,1,0,35,2056.50016666667,5.3029425224417,4773.49,0,1,1,3.32777777783333,1,0
"KSSTID0157",0,1,1,1,1,37,2906.859,4.27761882612398,6505.32,1,1,1,3.91666666683333,1,0
"KSSTID0158",1,1,1,0,0,41,15253.0416666667,9.6070598941541,5578.55,0,0,0,3.15555555566667,1,0
